abs_code,season,immunised,reference_population,immunisation_intensity_raw,immunisation_intensity,intensity_issue
41,2023-2024,312,188,1.65957446808511,0.912765957446809,valid
42,2023-2024,240,154,1.55844155844156,0.857142857142857,valid
43,2023-2024,364,221,1.64705882352941,0.905882352941176,valid
44,2023-2024,194,121,1.60330578512397,0.881818181818182,valid
45,2023-2024,154,95,1.62105263157895,0.891578947368421,valid
46,2023-2024,332,193,1.72020725388601,0.946113989637306,valid
47,2023-2024,242,144,1.68055555555556,0.924305555555556,valid
48,2023-2024,260,158,1.64556962025316,0.905063291139241,valid
49,2023-2024,186,107,1.73831775700935,0.95607476635514,valid
50,2023-2024,212,126,1.68253968253968,0.925396825396825,valid
51,2023-2024,222,131,1.69465648854962,0.93206106870229,valid
52,2023-2024,82,93,0.881720430107527,0.48494623655914,valid
53,2023-2024,250,147,1.70068027210884,0.935374149659864,valid
54,2023-2024,282,160,1.7625,0.969375,valid
55,2023-2024,312,188,1.65957446808511,0.912765957446809,valid
56,2023-2024,232,130,1.78461538461538,0.981538461538462,valid
59,2023-2024,260,151,1.72185430463576,0.947019867549669,valid
62,2023-2024,200,122,1.63934426229508,0.901639344262295,valid
63,2023-2024,246,149,1.6510067114094,0.908053691275168,valid
64,2023-2024,220,130,1.69230769230769,0.930769230769231,valid
65,2023-2024,328,207,1.58454106280193,0.871497584541063,valid
67,2023-2024,336,202,1.66336633663366,0.914851485148515,valid
69,2023-2024,206,118,1.74576271186441,0.960169491525424,valid
70,2023-2024,184,102,1.80392156862745,0.992156862745098,valid
71,2023-2024,304,183,1.66120218579235,0.913661202185792,valid
72,2023-2024,286,201,1.4228855721393,0.782587064676617,valid
73,2023-2024,200,123,1.6260162601626,0.894308943089431,valid
74,2023-2024,314,194,1.61855670103093,0.89020618556701,valid
75,2023-2024,194,111,1.74774774774775,0.961261261261261,valid
76,2023-2024,242,150,1.61333333333333,0.887333333333333,valid
77,2023-2024,216,143,1.51048951048951,0.830769230769231,valid
78,2023-2024,200,123,1.6260162601626,0.894308943089431,valid
79,2023-2024,122,83,1.46987951807229,0.808433734939759,valid
80,2023-2024,50,29,1.72413793103448,0.948275862068965,valid
81,2023-2024,88,47,1.87234042553192,1.02978723404255,valid
82,2023-2024,172,112,1.53571428571429,0.844642857142857,valid
83,2023-2024,66,38,1.73684210526316,0.955263157894737,valid
84,2023-2024,210,113,1.85840707964602,1.02212389380531,valid
85,2023-2024,388,216,1.7962962962963,0.987962962962963,valid
86,2023-2024,170,97,1.75257731958763,0.963917525773196,valid
87,2023-2024,70,40,1.75,0.9625,valid
88,2023-2024,84,49,1.71428571428571,0.942857142857143,valid
89,2023-2024,220,140,1.57142857142857,0.864285714285714,valid
90,2023-2024,132,84,1.57142857142857,0.864285714285714,valid
91,2023-2024,400,250,1.6,0.88,valid
92,2023-2024,15,10,1.5,0.825,valid
93,2023-2024,172,110,1.56363636363636,0.86,valid
95,2023-2024,204,123,1.65853658536585,0.91219512195122,valid
96,2023-2024,26,16,1.625,0.89375,valid
97,2023-2024,244,142,1.71830985915493,0.945070422535211,valid
98,2023-2024,190,106,1.79245283018868,0.985849056603774,valid
100,2023-2024,388,227,1.70925110132159,0.940088105726872,valid
101,2023-2024,112,68,1.64705882352941,0.905882352941176,valid
102,2023-2024,138,83,1.66265060240964,0.914457831325301,valid
103,2023-2024,154,114,1.35087719298246,0.742982456140351,valid
104,2023-2024,158,88,1.79545454545455,0.9875,valid
105,2023-2024,184,98,1.87755102040816,1.03265306122449,valid
106,2023-2024,146,88,1.65909090909091,0.9125,valid
107,2023-2024,86,68,1.26470588235294,0.695588235294118,valid
108,2023-2024,322,196,1.64285714285714,0.903571428571429,valid
109,2023-2024,270,160,1.6875,0.928125,valid
110,2023-2024,104,59,1.76271186440678,0.969491525423729,valid
111,2023-2024,208,123,1.69105691056911,0.930081300813008,valid
112,2023-2024,20,11,1.81818181818182,1,valid
113,2023-2024,162,94,1.72340425531915,0.947872340425532,valid
114,2023-2024,154,87,1.77011494252874,0.973563218390805,valid
115,2023-2024,310,180,1.72222222222222,0.947222222222222,valid
116,2023-2024,224,127,1.76377952755906,0.97007874015748,valid
117,2023-2024,228,137,1.66423357664234,0.915328467153285,valid
118,2023-2024,46,34,1.35294117647059,0.744117647058824,valid
119,2023-2024,602,385,1.56363636363636,0.86,valid
120,2023-2024,50,31,1.61290322580645,0.887096774193548,valid
121,2023-2024,288,156,1.84615384615385,1.01538461538462,valid
122,2023-2024,248,145,1.71034482758621,0.940689655172414,valid
123,2023-2024,232,151,1.5364238410596,0.845033112582782,valid
124,2023-2024,210,128,1.640625,0.90234375,valid
125,2023-2024,346,210,1.64761904761905,0.906190476190476,valid
126,2023-2024,428,243,1.76131687242798,0.968724279835391,valid
127,2023-2024,146,89,1.64044943820225,0.902247191011236,valid
128,2023-2024,124,75,1.65333333333333,0.909333333333333,valid
129,2023-2024,28,15,1.86666666666667,1.02666666666667,valid
130,2023-2024,20,14,1.42857142857143,0.785714285714286,valid
131,2023-2024,92,59,1.55932203389831,0.857627118644068,valid
133,2023-2024,48,44,1.09090909090909,0.6,valid
134,2023-2024,56,37,1.51351351351351,0.832432432432433,valid
135,2023-2024,276,163,1.69325153374233,0.931288343558282,valid
136,2023-2024,318,187,1.70053475935829,0.935294117647059,valid
137,2023-2024,222,123,1.80487804878049,0.992682926829268,valid
138,2023-2024,284,164,1.73170731707317,0.952439024390244,valid
139,2023-2024,216,124,1.74193548387097,0.958064516129032,valid
140,2023-2024,190,116,1.63793103448276,0.900862068965517,valid
141,2023-2024,288,161,1.7888198757764,0.983850931677019,valid
142,2023-2024,372,231,1.61038961038961,0.885714285714286,valid
143,2023-2024,238,143,1.66433566433566,0.915384615384616,valid
144,2023-2024,260,157,1.65605095541401,0.910828025477707,valid
145,2023-2024,288,165,1.74545454545455,0.96,valid
