campanya,codi_abs,recompte,poblacio,index_socioeconomic,sexe
VRS: Campanya 2023,271,122,75,2,Home
VRS: Campanya 2023,272,76,40,2,Home
VRS: Campanya 2023,272,50,33,2,Dona
VRS: Campanya 2023,273,84,52,2,Dona
VRS: Campanya 2023,273,54,44,2,Home
VRS: Campanya 2023,274,100,61,2,Dona
VRS: Campanya 2023,274,98,60,2,Home
VRS: Campanya 2023,275,100,64,3,Home
VRS: Campanya 2023,275,90,54,3,Dona
VRS: Campanya 2023,276,162,104,4,Dona
VRS: Campanya 2023,276,170,110,4,Home
VRS: Campanya 2023,277,112,64,4,Home
VRS: Campanya 2023,277,128,76,4,Dona
VRS: Campanya 2023,279,52,31,3,Home
VRS: Campanya 2023,279,56,31,3,Dona
VRS: Campanya 2023,280,92,57,4,Home
VRS: Campanya 2023,280,84,47,4,Dona
VRS: Campanya 2023,281,58,34,4,Dona
VRS: Campanya 2023,281,72,41,4,Home
VRS: Campanya 2023,282,106,69,3,Dona
VRS: Campanya 2023,282,106,64,3,Home
VRS: Campanya 2023,283,50,30,4,Dona
VRS: Campanya 2023,283,50,32,4,Home
VRS: Campanya 2023,284,138,82,4,Home
VRS: Campanya 2023,284,90,60,4,Dona
VRS: Campanya 2023,285,168,100,3,Dona
VRS: Campanya 2023,285,160,97,3,Home
VRS: Campanya 2023,286,104,66,2,Dona
VRS: Campanya 2023,286,112,74,2,Home
VRS: Campanya 2023,287,70,42,3,Dona
VRS: Campanya 2023,287,68,46,3,Home
VRS: Campanya 2023,288,160,93,3,Dona
VRS: Campanya 2023,288,162,96,3,Home
VRS: Campanya 2023,289,132,79,3,Dona
VRS: Campanya 2023,289,124,72,3,Home
VRS: Campanya 2023,290,182,104,4,Home
VRS: Campanya 2023,290,154,85,4,Dona
VRS: Campanya 2023,291,226,132,4,Home
VRS: Campanya 2023,291,180,108,4,Dona
VRS: Campanya 2023,292,130,76,2,Dona
VRS: Campanya 2023,292,104,62,2,Home
VRS: Campanya 2023,293,98,60,3,Home
VRS: Campanya 2023,293,132,79,3,Dona
VRS: Campanya 2023,294,170,102,4,Home
VRS: Campanya 2023,294,166,98,4,Dona
VRS: Campanya 2023,295,136,90,4,Dona
VRS: Campanya 2023,295,184,106,4,Home
VRS: Campanya 2023,296,182,111,4,Dona
VRS: Campanya 2023,296,202,112,4,Home
VRS: Campanya 2023,297,30,18,3,Dona
VRS: Campanya 2023,297,54,30,3,Home
VRS: Campanya 2023,298,54,32,4,Home
VRS: Campanya 2023,298,52,32,4,Dona
VRS: Campanya 2023,299,112,68,3,Dona
VRS: Campanya 2023,299,90,62,3,Home
VRS: Campanya 2023,300,48,34,4,Home
VRS: Campanya 2023,300,60,36,4,Dona
VRS: Campanya 2023,302,210,141,3,Home
VRS: Campanya 2023,302,184,121,3,Dona
