rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,error
49,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.810138883494577,-1.04820829277322,-0.572069474215934,0.121463984325838,,,,,,,,,
50,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.483640334066089,-0.954371467879182,-0.0129092002529962,0.240168945823007,,,,,,,,,
50,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.300083068432393,-0.404855011700465,-0.195311125164322,0.0534550730959547,,,,,,,,,
50,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.48434059179283,-0.95498737543764,-0.0136938081480194,0.240125910022862,,,,,,,,,
51,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.742537916988846,-1.01177007066205,-0.473305763315643,0.137363343710818,,,,,,,,,
51,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.833912400314564,-0.919836031491956,-0.747988769137172,0.0438385873354042,,,,,,,,,
51,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.741041985525166,-1.01016843694372,-0.471915534106607,0.137309413989061,,,,,,,,,
52,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.665134996895712,-1.05592566156197,-0.274344332229459,0.19938299217666,,,,,,,,,
52,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.893820475496669,-1.00895080306655,-0.778690147926783,0.05873996304586,,,,,,,,,
52,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.662194350124525,-1.05330609708435,-0.2710826031647,0.19954680967338,,,,,,,,,
53,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.365897392483694,-0.766105374974495,0.0343105900071083,0.204187746168776,,,,,,,,,
