rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,modulation_amplitude,sigma_series_estimate,schedule,error
20,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.610342571383333,-0.74797300425,-0.46312533475,0.0703074783301075,1.00238521545766,505.814605451589,0,0,0.699364673489578,0.0377293414703644,14.1896344945833,0.0307752300278642,0.0870046205689856,0.149115580461667,short,
21,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.459946395002833,-0.72226320275,-0.165324877500001,0.137220119333355,1.01267584863081,631.87209843727,0,0,1.06073991774499,0.0164121865581249,10.56037634225,0.0773539890254083,0.11817813383467,0.112731961419833,short,
22,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.449541032974083,-0.6739565735,-0.179364538000001,0.124423251774108,0.99812945013482,528.117916334697,0,0,2.45416279609277,0.020829174778284,14.2558824828333,-0.00536625899294167,0.0837369939376722,0.1458634823875,short,
23,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.707940574533333,-0.972718203,-0.45871436725,0.133422278881215,1.00752061548496,687.673531284662,0,0,1.63984021999189,0.0193339964718702,11.3674069525,0.017996875619025,0.105703143153103,0.104995025281167,short,
24,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.362807929573667,-0.5287419295,-0.19636475875,0.0848431953707153,1.00193021692491,711.93343512059,0,0,2.26364930136796,0.0317596477258429,9.38679965241667,0.0440650443419583,0.107985310579471,0.149872111336667,short,
25,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.711126344975,-0.85910527075,-0.51629589925,0.0832173786344143,1.00651424767394,631.97369884994,0,0,1.33487365755091,0.0397170318678285,12.37838308225,-0.0353145826564583,0.103392576840675,0.140000191413333,short,
26,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.474371962621667,-0.727175912,-0.22594867325,0.13211373952201,1.00600737834869,674.351135778833,0,0,1.42911268341456,0.0181854347592399,10.671548805,-0.0676975130491833,0.144636641729088,0.1405153344375,short,
27,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.618515274934167,-0.855017005,-0.350317479750001,0.130760105098007,1.00807422193867,227.937704204849,0,0,2.82893637022047,0.0341907481057503,16.1344711569167,0.00586630012565083,0.0989214903767269,0.1898685796075,short,
28,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.357451787985333,-0.7251684515,-0.0536756040000007,0.163357188330373,1.00344343162108,623.621935826746,0,0,1.0894997163231,0.0308169839998594,10.8085964451667,-0.101709752858525,0.12221618231116,0.1852230892,short,
29,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.439962487608333,-0.731311237,-0.0954912417500005,0.16295849588755,1.00675146130787,405.642549261497,0,0,1.11553115726496,0.0259617340859225,9.71406892558333,-0.0659453928484017,0.0955993545689159,0.145115972550833,short,
30,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.529503021216667,-0.7914154455,-0.298538223,0.122248377339331,1.00386808704562,790.511246749667,0,0,2.13018934239941,0.0247027785019594,15.5041714306667,0.02201672780029,0.0958847496996181,0.130608082308333,short,
31,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.671244206157583,-0.97946605825,-0.320080748250001,0.17046107949197,1.00786270740213,690.167782236713,0,0,1.95544636985766,0.0304919704720183,13.2878801429167,-0.0899656772486275,0.119239067109149,0.142725423646667,short,
32,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.573885844033333,-0.81450565125,-0.3131526915,0.130025290387168,1.00249364392075,920.169737923182,0,0,1.60107955179356,0.038640465485427,10.5818511389167,0.0559687531846517,0.0997289559520913,0.124686535586667,short,
33,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.959012293941667,-1.298167335,-0.62267956375,0.175185703592996,1.00559965193931,770.950725436316,0,0,3.13098193790113,0.0311228369220506,15.1593282396667,-0.0470714509940583,0.149809418170981,0.165413212191667,short,
34,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.449321799608333,-0.58905786325,-0.313787011,0.0685832103127664,1.01115105884001,502.29370910176,0,0,1.95698450840113,0.0328031529072487,9.33192138625,0.0891350819880217,0.10988861864449,0.15429291817,short,
35,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.674949502316667,-0.931939362,-0.409772892,0.129324460352678,1.00524927694031,612.695723626577,0,0,1.40794772646962,0.0308178652905522,12.8269030965,0.042088085892665,0.12113113871622,0.156009027809167,short,
36,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.64315773805,-0.95617756375,-0.348717715500001,0.151354115299557,1.00213575341348,761.880664720781,0,0,2.48560901177486,0.0248284430631755,11.1687182454167,-0.00523959880138333,0.082031297812493,0.219618235291667,short,
37,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.722583581058333,-0.8975609635,-0.55169953475,0.0856567520453378,1.0038555112477,582.181324019132,1,0,1.42149438197693,0.0257236703863397,9.04104367383333,0.0836352355364492,0.114021820671522,0.146217828350833,short,
38,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.774215260025,-0.97850768475,-0.56189033925,0.107380627618762,1.00232637705162,1010.64772861942,0,0,1.84379025792351,0.0232519421171408,11.2230450663333,-0.122336930437975,0.142627326401042,0.0926877211840833,short,
39,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.400974587482417,-0.66521378175,-0.0614183358250015,0.153627454591529,1.00761300732508,345.635529958357,0,0,1.93854206169755,0.0168486509390398,18.29351286525,-0.01144227698247,0.0846322587173117,0.180069752949167,short,
40,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.571041423015,-0.87904364325,-0.195133982500001,0.168377591417358,1.00691485647007,483.498577255251,0,0,0.649386699415619,0.0288526132388949,10.6590994243333,0.11516864330785,0.140387579130637,0.208917003658333,short,
41,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.559225506014167,-0.7864558735,-0.28364292175,0.125524461217236,1.01262041615125,581.341196610116,0,0,0.48920601623738,0.0240431754561382,13.4724752616667,-0.0142998467480392,0.102750289448485,0.151460655760833,short,
42,phase_shift,BEACON-Stan,bayesian_validation,credible,-0.597837000755621,-0.429145399925,-0.5737258,-0.263603923,0.0758963933649215,1.00610608360293,672.443646867081,0,0,1.01523889785606,0.024933520145706,11.4495648245,0.00833956457901834,0.0783735112742228,0.109776345168333,short,
