rep,scenario,method,component,interval_type,true,estimate,lower,upper,se,rhat,ess_bulk,divergences,max_treedepth_hits,shift_rmse,speed_rmse,phi_estimate,beta_time_estimate,error,modulation_amplitude,sigma_series_estimate,schedule,covered,interval_width
37,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.578208340905667,-0.925917046997698,-0.230499634813636,0.177402401067363,,,,,,,,,,,,,TRUE,0.695417412184062
37,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.854391220634748,-0.963259406882271,-0.745523034387225,0.0555449929834302,,,,,,,,,,,,,FALSE,0.217736372495046
37,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.580717286650847,-0.928704408125524,-0.232730165176171,0.177544449731978,,,,,,,,,,,,,TRUE,0.695974242949353
38,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.663677104943709,-0.930943373929329,-0.396410835958088,0.136360341319194,,,,,,,,,,,,,TRUE,0.534532537971241
38,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.767997267758245,-0.879120560146537,-0.656873975369952,0.0566955573409655,,,,,,,,,,,,,FALSE,0.222246584776585
38,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.662773286748245,-0.930271446381975,-0.395275127114516,0.136478652874352,,,,,,,,,,,,,TRUE,0.534996319267459
39,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.478216103565521,-0.737156835027288,-0.219275372103754,0.132112618092738,,,,,,,,,,,,,TRUE,0.517881462923534
39,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.510649600651085,-0.581380661473244,-0.439918539828926,0.0360872759296729,,,,,,,,,,,,,FALSE,0.141462121644318
39,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.480688883641805,-0.739419358689709,-0.221958408593901,0.132005344412196,,,,,,,,,,,,,TRUE,0.517460950095808
40,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.363314468373498,-0.699840271660883,-0.0267886650861127,0.171696838411931,,,,,,,,,,,,,TRUE,0.673051606574771
40,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.6204468798071,-0.703688950203367,-0.537204809410834,0.0424704440797279,,,,,,,,,,,,,TRUE,0.166484140792533
40,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.357158977256908,-0.693435838459148,-0.0208821160546667,0.171569827144,,,,,,,,,,,,,TRUE,0.672553722404482
41,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.315736462853277,-0.661060819741173,0.0295878940346191,0.176185896371376,,,,,,,,,,,,,TRUE,0.690648713775792
41,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.334779057610865,-0.434331490026579,-0.235226625195152,0.0507920573549561,,,,,,,,,,,,,FALSE,0.199104864831428
41,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.314563710740585,-0.659725141788966,0.0305977203077967,0.176102770943052,,,,,,,,,,,,,TRUE,0.690322862096763
42,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-1.0382808503871,-1.33619402533198,-0.740367675442212,0.151996517829023,,,,,,,,,,,,,FALSE,0.59582634988977
42,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.417055525273586,-0.526315053237421,-0.307795997309751,0.0557446571244055,,,,,,,,,,,,,FALSE,0.21851905592767
42,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-1.04097053950102,-1.3390782195074,-0.742862859494641,0.152095755105297,,,,,,,,,,,,,FALSE,0.596215360012763
43,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.680487825481434,-1.01856737447592,-0.342408276486948,0.172489565813513,,,,,,,,,,,,,TRUE,0.676159097988972
43,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.807459821800377,-0.91478347006617,-0.700136173534584,0.0547569634009148,,,,,,,,,,,,,FALSE,0.214647296531586
43,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.678389180048926,-1.01697065255029,-0.339807707547566,0.172745649235388,,,,,,,,,,,,,TRUE,0.677162945002721
44,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.849713868076987,-1.2325506794544,-0.466877056699578,0.195324903763984,,,,,,,,,,,,,TRUE,0.765673622754817
44,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.745321421362117,-0.82692590417035,-0.663716938553883,0.0416349402082822,,,,,,,,,,,,,FALSE,0.163208965616466
44,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.835125004906526,-1.21862534363783,-0.45162466617522,0.195663438128217,,,,,,,,,,,,,TRUE,0.767000677462612
45,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.499875865880031,-0.88771519278752,-0.112036538972541,0.197877207605862,,,,,,,,,,,,,TRUE,0.775678653814979
45,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.471544642523106,-0.584818037552577,-0.358271247493636,0.0577925484844237,,,,,,,,,,,,,FALSE,0.226546790058941
45,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.499893133624754,-0.887779372803571,-0.112006894445938,0.197901142438172,,,,,,,,,,,,,TRUE,0.775772478357634
46,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.511783389487635,-0.872571815491312,-0.150994963483959,0.184075727552896,,,,,,,,,,,,,TRUE,0.721576852007353
46,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.445050460768914,-0.540582089387887,-0.349518832149941,0.0487406268464146,,,,,,,,,,,,,FALSE,0.191063257237945
46,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.506708350087281,-0.867607110029833,-0.145809590144729,0.184132020378853,,,,,,,,,,,,,TRUE,0.721797519885103
47,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.708433844651631,-0.99193472098287,-0.424932968320391,0.144643304250632,,,,,,,,,,,,,TRUE,0.567001752662478
47,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.364398394574139,-0.47104206062175,-0.257754728526528,0.0544100336977608,,,,,,,,,,,,,FALSE,0.213287332095222
47,aligned,Aligned NB,large_scale_comparison,Wald,-0.597837000755621,-0.704892628899968,-0.988680277006996,-0.421104980792941,0.144789616381137,,,,,,,,,,,,,TRUE,0.567575296214056
48,aligned,ITS,large_scale_comparison,Wald,-0.597837000755621,-0.414887530390078,-0.599720990904932,-0.230054069875225,0.0943027859769662,,,,,,,,,,,,,TRUE,0.369666921029707
48,aligned,GAM,large_scale_comparison,Wald,-0.597837000755621,-0.310006110460089,-0.40123312473842,-0.218779096181758,0.0465443950399649,,,,,,,,,,,,,FALSE,0.182454028556663
